sku,brand,category,subcategory,product_name,price,cost,stock,season,status
SKU001,르블랑,아우터,코트,오버사이즈 울 코트,289000,130000,45,24FW,판매중
SKU002,르블랑,상의,니트,캐시미어 블렌드 니트,129000,52000,120,24FW,판매중
SKU003,모드니,아우터,자켓,크롭 트위드 자켓,198000,85000,30,25SS,판매중
SKU004,모드니,하의,스커트,A라인 미디 스커트,89000,35000,0,25SS,품절
SKU005,세리나,원피스,미디,플로럴 랩 원피스,159000,68000,55,25SS,판매중
SKU006,세리나,가방,토트,미니 버킷백,139000,48000,80,25SS,판매중
SKU007,하이드,신발,스니커즈,청키 러닝 스니커즈,179000,72000,65,25SS,판매중
SKU008,하이드,신발,부츠,첼시 앵클 부츠,219000,95000,20,24FW,판매중
SKU009,르블랑,상의,블라우스,실크 보우 블라우스,168000,70000,0,25SS,품절
SKU010,모드니,하의,팬츠,와이드 핀턱 슬랙스,119000,48000,90,25SS,판매중
SKU011,세리나,아우터,가디건,오픈 롱 가디건,109000,42000,110,25SS,판매중
SKU012,하이드,가방,크로스백,퀼팅 체인 크로스백,189000,78000,,24FW,판매중
SKU013,블루밍,상의,티셔츠,오가닉 코튼 티셔츠,59000,22000,200,25SS,판매중
SKU014,블루밍,하의,데님,하이웨이스트 스트레이트 진,98000,40000,75,25SS,판매중
SKU015,블루밍,원피스,맥시,린넨 셔츠 원피스,138000,55000,40,25SS,입고예정
SKU016,르블랑,아우터,점퍼,봄버 점퍼,178000,75000,60,25SS,판매중
SKU003,모드니,아우터,자켓,크롭 트위드 자켓,198000,85000,30,25SS,판매중
SKU017,세리나,상의,블라우스,러플 카라 블라우스,128000,50000,45,25SS,판매중
SKU018,하이드,아우터,코트,트렌치 코트,258000,110000,35,25SS,입고예정
SKU019,블루밍,가방,숄더백,캔버스 토트백,79000,28000,150,25SS,판매중
SKU020,르블랑,신발,샌들,스트랩 웨지 샌들,149000,60000,0,25SS,품절
